No,GACAR PART,SUBPART,APPENDIX,SECTION,SUB-SECTION,SUB-SECTION,OPS AREA,AREAS,SUBPART / APPENDIX HEADING,SUBPART SECTION / APPENDIX SECTION HEADING,REGULATION  STATEMENT,,,,,,
1,4,,APPENDIX C,,3,d,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,"(d) Damage, failure, or defect in the propeller leads to in-flight separation of the propeller or any major portion of the propeller or malfunctions of the propeller control.",,,,,,
1,4,,APPENDIX C,,3,e,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,"(e) Damage, failure, or defect of main rotor gearbox/attachment, which could lead to in-flight separation of the rotor assembly or malfunctions of the rotor control.",,,,,,
1,4,,APPENDIX C,,3,f,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,"(f) Significant malfunction of a safety-critical system or equipment, including emergency system or equipment during maintenance testing or failure to activate these systems after maintenance.",,,,,,
1,4,,APPENDIX C,,3,g,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,(g) Incorrect assembly or installation of aircraft components found during an inspection or test procedure not intended for that specific purpose.,,,,,,
1+3333:337,4,,APPENDIX C,,3,h,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,(h) Wrong assessment of a serious defect or serious non-compliance with MEL and Technical logbook procedures.,,,,,,
1,4,,APPENDIX C,,3,i,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,(i) Serious damage to Electrical Wiring Interconnection System (EWIS).,,,,,,
1,4,,APPENDIX C,,3,j,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,(j) Any defect in a life-controlled critical part causing retirement before completion of its full life.,,,,,,
1,4,,APPENDIX C,,3,k,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,"(k) The use of products, components, or materials, from the unknown, suspect origin, or unserviceable critical components.",,,,,,
1,4,,APPENDIX C,,3,l,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,"l) Misleading, incorrect or insufficient applicable maintenance data or procedures could lead to significant maintenance errors, including language issues.",,,,,,
1,4,,APPENDIX C,,3,m,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,(m) Incorrect control or application of aircraft maintenance limitations or scheduled maintenance.,,,,,,
1,4,,APPENDIX C,,3,n,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,"(n) Releasing an aircraft to service with defect or non-compliance after maintenance, which could endanger flight safety.",,,,,,
1,4,,APPENDIX C,,3,o,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,(o) Serious damage caused to an aircraft during maintenance activities due to incorrect maintenance or use of inappropriate or unserviceable ground support equipment that requires additional maintenance actions.,,,,,,
1,4,,APPENDIX C,,3,p,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,"(p) Identified burning, melting, smoke, arcing, overheating, or fire occurrences.",,,,,,
1,4,,APPENDIX C,,3,q,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,"(q) Any occurrence where the human performance, including personnel fatigue, has directly contributed to or could have contributed to an accident or a serious incident.",,,,,,
1,4,,APPENDIX C,,3,r,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,"(r) Significant malfunction, reliability issue, or recurrent recording quality issue affecting a flight recorder system (such as a flight data recorder system, a data link recording system, or a cockpit
voice recorder system) or lack of information needed to ensure the serviceability of a flight recorder system.",,,,,,
1,4,,APPENDIX D,,1,a,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Aircraft-Related Occurences,"Appendix D provides a list of occurrences in ANS. Certificate holders must report any other ANS occurrences that are related to ANS and not listed in Appendix D.
1. Aircraft-Related Occurrences
(a) A collision or a near-collision between aircraft, terrain, or obstacle, including vehicles, including near-controlled flight into terrain (near CFIT).",,,,,,
1,4,,APPENDIX D,,1,b,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Aircraft-Related Occurences,(b) Separation minima infringement between aircraft or between aircraft and airspace to which separation minima is prescribed.,,,,,,
1,4,,APPENDIX D,,1,c,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Aircraft-Related Occurences,"(c) Inadequate separation, in the absence of prescribed separation minima, a situation in which aircraft were perceived to pass too close to each other for pilots to ensure safe eparation.",,,,,,
1,4,,APPENDIX D,,1,d,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Aircraft-Related Occurences,(d) ACAS RAs.,,,,,,
1,4,,APPENDIX D,,1,e,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Aircraft-Related Occurences,"(e) Wildlife strike, including bird strike.",,,,,,
1,4,,APPENDIX D,,1,f,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Aircraft-Related Occurences,(f) Taxiway or runway excursion.,,,,,,
1,4,,APPENDIX D,,1,g,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Aircraft-Related Occurences,(g) Actual or potential taxiway or runway incursion.,,,,,,
1,4,,APPENDIX D,,1,h,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Aircraft-Related Occurences,(h) Final Approach and Take-off Area (FATO) incursion.,,,,,,
1+3333:337,4,,APPENDIX D,,1,i,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Aircraft-Related Occurences,(i) Aircraft deviation from ATC clearance.,,,,,,
1,4,,APPENDIX D,,1,j(i),-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Aircraft-Related Occurences,"(j) Aircraft deviation from applicable air traffic management (ATM) regulation:
(i) aircraft deviation from applicable published ATM procedures;",,,,,,
1,4,,APPENDIX D,,1,j(ii),-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Aircraft-Related Occurences,(ii) airspace infringement including unauthorized penetration of airspace;,,,,,,
1,4,,APPENDIX D,,1,j(iii),-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Aircraft-Related Occurences,"(iii) deviation from aircraft ATM-related equipment carriage and operations, as mandated by applicable regulations.",,,,,,
1,4,,APPENDIX D,,1,k,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Aircraft-Related Occurences,(k) Occurrences related to Call sign confusion.,,,,,,
1,4,,APPENDIX D,,1,l,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Aircraft-Related Occurences,(l) Conducted flight below the ATC authorized SVFR weather minima,,,,,,
1,4,,APPENDIX D,,2,a1,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Degradation or Total Loss of Services or Functions,"2. Degradation or Total Loss of Services or Functions
(a) Inability to provide ATM services or to execute ATM functions:
(1) inability to provide air traffic services or to execute air traffic services functions;",,,,,,
1,4,,APPENDIX D,,2,a2,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Degradation or Total Loss of Services or Functions,"(2) inability to provide airspace management services or to execute airspace management
functions;",,,,,,
1,4,,APPENDIX D,,2,a3,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Degradation or Total Loss of Services or Functions,(3) inability to provide air traffic flow management and capacity services or execute air traffic flow management and capacity functions.,,,,,,
1,4,,APPENDIX D,,2,b,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Degradation or Total Loss of Services or Functions,"(b) Missing or incorrect, corrupted, inadequate, or misleading information from any support service - ATS, ATIS, meteorological services, navigation databases, maps, charts, aeronautical information service, including relating to poor runway surface conditions.",,,,,,
1,4,,APPENDIX D,,2,c,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Degradation or Total Loss of Services or Functions,(c) Failure of communication service.,,,,,,
1+3333:337,4,,APPENDIX D,,2,d,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Degradation or Total Loss of Services or Functions,(d) Failure of surveillance service.,,,,,,
1,4,,APPENDIX D,,2,e,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Degradation or Total Loss of Services or Functions,(e) Failure of data processing and distribution function or service.,,,,,,
1,4,,APPENDIX D,,2,f,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Degradation or Total Loss of Services or Functions,(f) Failure of navigation service.,,,,,,
1,4,,APPENDIX D,,2,g,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Degradation or Total Loss of Services or Functions,(g) Failure of ATM system security had or could have a direct negative impact on the safe provision of service.,,,,,,
1,4,,APPENDIX D,,2,h,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Degradation or Total Loss of Services or Functions,(h) Significant ATS sector/position overload leading to a potential deterioration in service provision.,,,,,,
1,4,,APPENDIX D,,2,i,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Degradation or Total Loss of Services or Functions,"(i) Incorrect receipt or interpretation of significant communications, including lack of understanding of the language used when this had or could negatively impact the safe provision of service.",,,,,,
1,4,,APPENDIX D,,2,j,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Degradation or Total Loss of Services or Functions,(j) Prolonged loss of communication with an aircraft or other ATS unit.,,,,,,
1,4,,APPENDIX D,,3,a,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Other Occurrences,"3. Other Occurrences
(a) Declaration of an emergency (‘Mayday’ or ‘PAN’ call).",,,,,,
1+3333:337,4,,APPENDIX D,,3,b,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Other Occurrences,"(b) Significant external interference with Air Navigation Services. For example, radio broadcast stations transmitting in the FM band, interfering with instrument landing system (ILS), VOR
(VHF Omni Directional Radio Range), and communication.",,,,,,
1,4,,APPENDIX D,,3,c,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Other Occurrences,"(c) Interference with an aircraft, an ATS unit, or a radio communication transmission by firearms, fireworks, flying kites, laser illumination, high-powered lights lasers, Remotely Piloted Aircraft Systems, model aircraft, or by similar means.",,,,,,
1,4,,APPENDIX D,,3,d,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Other Occurrences,(d) Fuel dumping.,,,,,,
1,4,,APPENDIX D,,3,e,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Other Occurrences,(e) Bomb threat or hijack.,,,,,,
1,4,,APPENDIX D,,3,f,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Other Occurrences,(f) Personnel Fatigue impacting or potentially impacting the safe performance of ATS duties.,,,,,,
1,4,,APPENDIX D,,3,g,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Other Occurrences,(g) Any occurrence where the human performance has directly contributed to or could have contributed to an accident or a serious incident.,,,,,,
1,4,,APPENDIX D,,3,h,-,,OCCURENCES RELATED TO THE AIR NAVIGATION SERVICES,Other Occurrences,(h) Unauthorized unmanned aircraft operations within the aerodrome control zone or airspace,,,,,,
1,4,,APPENDIX E,,1,a1,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,"Appendix E provides a list of occurrences in aerodrome operations. Certificate holders mustreport any other occurrences related to aerodrome operations and not listed in Appendix E.
1. Safety Management of an Aerodrome
(a) Aircraft- and obstacle-related occurrences
(1) A collision or near-collision between an aircraft and another aircraft, terrain, or obstacle,including vehicles.",,,,,,
1,4,,APPENDIX E,,1,a2,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,"(2) Wildlife strike, including bird strike.",,,,,,
1,4,,APPENDIX E,,1,a3,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,(3) Taxiway or runway excursion.,,,,,,
1,4,,APPENDIX E,,1,a4,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,(4) Actual or potential taxiway or runway incursion.,,,,,,
1,4,,APPENDIX E,,1,a5,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,(5) Final Approach and Take-off Area (FATO) incursion or excursion.,,,,,,
1,4,,APPENDIX E,,1,a6,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,"(6) Failure of aircraft or vehicle to follow clearance, instruction, or restriction while operating on the movement area (for example, wrong runway, taxiway, or a restricted part of
an aerodrome).",,,,,,
1,4,,APPENDIX E,,1,a7,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,"(7) Foreign object on the aerodrome movement area which has or could have endangered the aircraft, its occupants, or any other person.",,,,,,
1,4,,APPENDIX E,,1,a8,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,(8) Presence of obstacle on aerodrome or its vicinity is not published in the AIP (Aeronautical Information Publication) or NOTAM (Notice to Airmen); such obstacles are neither marked nor appropriately lighted.,,,,,,
1+3333:337,4,,APPENDIX E,,1,a9,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,"(9) Push-back, power-back, or taxi interference by vehicle, equipment, or person.",,,,,,
1,4,,APPENDIX E,,1,a10,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,(10)Passengers or unauthorized persons left unsupervised on the apron.,,,,,,
1,4,,APPENDIX E,,1,a11,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,"(11)Jet blast, rotor downwash, or propeller blast effect.",,,,,,
1,4,,APPENDIX E,,1,a12,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,(12)Declaration of an emergency (‘Mayday’ or ‘PAN’ call).,,,,,,
1,4,,APPENDIX E,,1,b1(i),-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,"(b) Degradation or total loss of services or functions
(1) Loss or failure of communication between:
(i) aerodrome, vehicle or other ground personnel and air traffic services unit or apron management service unit;",,,,,,
1,4,,APPENDIX E,,1,b1(ii),-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,"(ii) apron management service unit and aircraft, vehicle, or air traffic services unit.",,,,,,
1,4,,APPENDIX E,,1,b2,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,"(2) Significant failure, malfunction, or defect of aerodrome equipment or system which has or could have endangered the aircraft or its occupants.",,,,,,
1,4,,APPENDIX E,,1,b3,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,"(3) Significant deficiencies in aerodrome lighting, marking, or signs.",,,,,,
1,4,,APPENDIX E,,1,b4,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,(4) Failure of the aerodrome emergency alerting system.,,,,,,
1,4,,APPENDIX E,,1,b5,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,(5) Rescue and firefighting services are not available according to applicable requirements.,,,,,,
1,4,,APPENDIX E,,1,c1,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,"(c) Other occurrences
(1) Fire, smoke, explosions in aerodrome facilities, or its vicinities and equipment that have or could have endangered the aircraft, its occupants, or any other person.",,,,,,
1+3333:337,4,,APPENDIX E,,1,c2,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,"(2) Aerodrome security-related occurrences (for example, unlawful entry, sabotage, bomb threat).",,,,,,
1,4,,APPENDIX E,,1,c3,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,"(3) Absence of reporting a significant change in aerodrome operating conditions that have or could have endangered the aircraft, its occupants, or any other person.",,,,,,
1,4,,APPENDIX E,,1,c4,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,"(4) Missing, incorrect, or inadequate de-icing/anti-icing treatment.",,,,,,
1,4,,APPENDIX E,,1,c5,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,(5) Significant spillage during fueling operations.,,,,,,
1,4,,APPENDIX E,,1,c6,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,"(6) Loading the contaminated or incorrect type of fuel or other essential fluids (including oxygen, nitrogen, oil, and potable water).",,,,,,
1,4,,APPENDIX E,,1,c7,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,(7) Failure to handle poor runway surface conditions.,,,,,,
1,4,,APPENDIX E,,1,c8,-,,OCCURENCES RELATED TO AERODROMES SERVICES,Safety Management of an Aerodrome,(8) Any operation whereby the human performance has directly contributed to or could have contributed to an accident or a serious incident.,,,,,,
1,4,,APPENDIX F,,1,a1,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"Appendix F contains a list of occurrences related to Ground Services. Certificate holders must report any other occurrences that relate to ground services and not listed in Appendix F.
1. Ground Handling of an Aircraft
(a) Aircraft- and aerodrome-related occurrences
(1) A collision or near collision, on the ground, between an aircraft and another aircraft, terrain, or obstacle, including vehicles.",,,,,,
1+3333:337,4,,APPENDIX F,,1,a2,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,(2) Ground handling equipment or any vehicles causing non-fatal injury to any person,,,,,,
1,4,,APPENDIX F,,1,a3,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,(3) Vehicles on the taxi/runway while aircraft taxiing,,,,,,
1,4,,APPENDIX F,,1,a4,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(4) Significant contamination of aircraft structure, systems, and equipment arises from the carriage of baggage, mail, or cargo.",,,,,,
1,4,,APPENDIX F,,1,a5,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(5) Push-back, power-back, or taxi interference by vehicle, equipment, or person.",,,,,,
1,4,,APPENDIX F,,1,a6,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(6) Foreign object on the aerodrome movement area which has or could have endangered the aircraft, its occupants, or any other person.",,,,,,
1,4,,APPENDIX F,,1,a7,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,(7) Passengers or unauthorized persons left unsupervised on the apron.,,,,,,
1,4,,APPENDIX F,,1,a8,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(8) Fire, smoke, explosions in aerodrome facilities, or its vicinities and equipment that have or could have endangered the aircraft, its occupants, or any other person.",,,,,,
1,4,,APPENDIX F,,1,a9,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(9) Aerodrome security-related occurrences (for example, unlawful entry, sabotage, bomb threat).",,,,,,
1,4,,APPENDIX F,,1,b1,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(b) Degradation or total loss of services or functions
(1) Loss or failure of communication with aircraft, vehicle, air traffic services unit, or apron management service unit.",,,,,,
1,4,,APPENDIX F,,1,b2,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(2) Significant failure, malfunction, or defect of aerodrome equipment or system which has or could have endangered the aircraft or its occupants.",,,,,,
1,4,,APPENDIX F,,1,b3,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(3) Significant deficiencies in aerodrome lighting, marking, or signs.",,,,,,
1+3333:337,4,,APPENDIX F,,1,c1,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(c) Ground handling specific occurrences
(1) Incorrect distribution of passengers or loading of baggage, mail, or cargo, likely to affect aircraft mass or balance significantly (including significant errors in load sheet
calculations).",,,,,,
1,4,,APPENDIX F,,1,c2,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(2) Boarding equipment removed while boarding, leading to the endangerment of aircraft occupants.",,,,,,
1,4,,APPENDIX F,,1,c3,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(3) Incorrect stowage or securing of baggage, mail, or cargo likely in any way to endanger the aircraft, its equipment, or occupants or to impede an emergency evacuation.",,,,,,
1,4,,APPENDIX F,,1,c4,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(4) Transport, or attempted transport of dangerous goods which endangered or could have endangered the safety of the operation, or led to an unsafe condition (for example, dangerous
goods incident or accident as defined in the ICAO Technical Instructions for the Safe Transport of Dangerous Goods by Air (ICAO — Doc 9284).",,,,,,
1,4,,APPENDIX F,,1,c5,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,(5) Non-compliance on baggage or passenger reconciliation.,,,,,,
1,4,,APPENDIX F,,1,c6,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(6) Non-compliance with required aircraft ground handling and servicing procedures, especially in de-icing, refueling, or loading procedures, including incorrect positioning or removal of equipment.",,,,,,
1,4,,APPENDIX F,,1,1c7,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,(7) Significant spillage during fueling operations.,,,,,,
1,4,,APPENDIX F,,1,c8,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(8) Loading of incorrect fuel quantity is likely to affect aircraft endurance, performance, balance, or structural strength.",,,,,,
1,4,,APPENDIX F,,1,c9,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(9) Failure, malfunction, or defect of ground equipment, resulting in damage or potential damage to the aircraft (for example, tow bar or GPU (Ground Power Unit).",,,,,,
1,4,,APPENDIX F,,1,c10,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(10)Missing, incorrect, or inadequate de-icing/anti-icing treatment.",,,,,,
1,4,,APPENDIX F,,1,c11,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(11)Damage to aircraft by ground handling equipment or vehicles, including the unreported occurrence of damage",,,,,,
1,4,,APPENDIX F,,1,c12,-,,OCCURENCES RELATED TO GROUND SERVICES,Ground Handling of an Aircraft,"(12)Any occurrence wherein the human performance has directly
contributed to or could have contributed to an accident or a serious incident.",,,,,,
1,4,,APPENDIX G,,,a,-,,EXAMPLES OF MAJOR DEFECTS,Major Defects on Aircraft,"Appendix G provides a list of major defects. Certificate holders must report any other aircraft major defect that is not listed in Appendix G.
Major Defects on aircraft
(a) Cracks, permanent deformation, or corrosion of aircraft structure, if more than the maximum acceptable to the manufacturer limits; and",,,,,,
1,4,,APPENDIX G,,,b,-,,EXAMPLES OF MAJOR DEFECTS,Major Defects on Aircraft,(b) Aircraft components or systems failure results in emergency actions during flight (except action to shut down an engine).,,,,,,
1,4,,APPENDIX G,,,c,-,,EXAMPLES OF MAJOR DEFECTS,Major Defects on Aircraft,"(c) Interruption to a flight, unscheduled change of aircraft en route, or unscheduled stop or diversion from a route, caused by known or suspected mechanical difficulties or malfunctions;
and",,,,,,
1,4,,APPENDIX G,,,d,-,,EXAMPLES OF MAJOR DEFECTS,Major Defects on Aircraft,(d) Engine shut down during the flight when external damage to the engine or aircraft structure occurs.,,,,,,
1+3333:337,4,,APPENDIX G,,,e,-,,EXAMPLES OF MAJOR DEFECTS,Major Defects on Aircraft,(e) Engine shut down during the flight due to foreign object ingestion or icing; and,,,,,,
1,4,,APPENDIX G,,,f,-,,EXAMPLES OF MAJOR DEFECTS,Major Defects on Aircraft,(f) Shut down of more than one engine during flight.,,,,,,
1,4,,APPENDIX G,,,g,-,,EXAMPLES OF MAJOR DEFECTS,Major Defects on Aircraft,(g) Failure of propeller feathering system or degradation of the ability of the system to control over-speed during flight; and,,,,,,
1,4,,APPENDIX G,,,h,-,,EXAMPLES OF MAJOR DEFECTS,Major Defects on Aircraft,(h) The fuel or fuel dumping system affects fuel flow or causes hazardous leakage during flight.,,,,,,
1,4,,APPENDIX G,,,i,-,,EXAMPLES OF MAJOR DEFECTS,Major Defects on Aircraft,"(i) Landing gear extension or retraction, or opening or closing of landing gear doors during flight; and",,,,,,
1,4,,APPENDIX G,,,j,-,,EXAMPLES OF MAJOR DEFECTS,Major Defects on Aircraft,(j) Brake system components that result in loss of brake actuating force when the aircraft is in motion on the ground; aircraft structure that requires significant repair.,,,,,,
1,4,,APPENDIX G,,,k,-,,EXAMPLES OF MAJOR DEFECTS,Major Defects on Aircraft,"(k) Engines removed prematurely because of malfunction, failure, or defect; and",,,,,,
1,4,,APPENDIX G,,,l,-,,EXAMPLES OF MAJOR DEFECTS,Major Defects on Aircraft,"(l) Cases of propeller featherings in flight, listed by type of propeller and engine and aircraft on which the propeller was installed.",,,,,,
1,4,,APPENDIX G,,,m,-,,EXAMPLES OF MAJOR DEFECTS,Major Defects on Aircraft,"(m) Fires during flight, and whether the fire warning system functioned properly; false fire warnings during flight; and",,,,,,
1,4,,APPENDIX G,,,n,-,,EXAMPLES OF MAJOR DEFECTS,Major Defects on Aircraft,"(n) Engine exhaust system causes damage during flight to the engine, adjacent structure, equipment, or components.",,,,,,
1,4,,APPENDIX G,,,o,-,,EXAMPLES OF MAJOR DEFECTS,Major Defects on Aircraft,"(o) Aircraft component that causes accumulation or circulation of smoke, vapor, or toxic or noxious fumes in the crew compartment or passenger cabin during flight; and",,,,,,
1,4,,APPENDIX G,,,p,-,,EXAMPLES OF MAJOR DEFECTS,Major Defects on Aircraft,(p) Engine shutdown during flight because of flameout.,,,,,,
,,,,,,,,,,,,,,,,,
